Location,TransactionAmount,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance,Cluster,CustomerOccupation,TransactionType,Channel,Location_Inverse
0.023487261146496817,2.7140322727797574,70,81,1.0,5112.21,2,Doctor,Debit,ATM,Austin
0.025079617834394906,5.932881589675684,68,141,1.0,13758.91,0,Doctor,Debit,ATM,Houston
0.02428343949044586,4.846467947882343,19,56,1.0,1122.35,1,Student,Debit,Online,Atlanta
0.023487261146496817,5.22305488204749,26,25,1.0,8569.06,2,Student,Debit,Online,Austin
0.02428343949044586,2.670694414558441,26,198,1.0,7429.4,2,Student,Credit,Online,Atlanta
0.027070063694267517,4.5342110970475975,18,172,1.0,781.68,1,Student,Debit,ATM,Charlotte
0.02428343949044586,2.089391872533004,37,139,1.0,13316.71,0,Doctor,Credit,ATM,Atlanta
0.02308917197452229,5.1499333607817785,67,291,1.0,2796.24,1,Retired,Credit,Branch,New York
0.025079617834394906,4.674976060232054,51,86,1.0,9095.14,0,Engineer,Credit,Branch,Houston
0.021894904458598725,6.705590134053119,55,120,1.0,1021.88,1,Doctor,Debit,ATM,Milwaukee
0.016321656050955414,2.932792473780117,52,59,1.0,7599.52,2,Engineer,Credit,Online,Albuquerque
0.025079617834394906,5.252378134606592,21,173,1.0,1528.81,1,Student,Debit,Online,Houston
0.02428343949044586,6.205607716224892,24,111,1.0,1620.02,1,Student,Credit,Branch,Atlanta
0.025079617834394906,6.662826135596005,26,123,1.0,189.69,1,Student,Debit,ATM,Houston
0.020302547770700636,5.123904453822123,18,134,1.0,299.93,1,Student,Debit,Online,Louisville
0.024681528662420384,6.14515083340697,36,129,1.0,3465.54,1,Engineer,Debit,ATM,Denver
0.023487261146496817,6.32220610902021,19,158,1.0,1131.26,1,Student,Credit,Branch,Austin
0.021496815286624203,6.202393806742613,39,234,1.0,5109.97,2,Engineer,Debit,Online,Columbus
0.016321656050955414,2.9796028916241073,59,106,1.0,7948.37,2,Retired,Credit,Branch,Albuquerque
0.021496815286624203,4.283310661734724,18,169,1.0,6568.59,2,Student,Credit,Online,Columbus
0.02746815286624204,4.099663723699701,71,38,1.0,5750.89,2,Retired,Debit,Branch,Los Angeles
0.021894904458598725,4.463260939805398,38,93,1.0,9146.19,0,Doctor,Debit,Branch,Milwaukee
0.02428343949044586,3.9740583963475986,39,120,1.0,8974.93,2,Engineer,Debit,Online,Atlanta
0.02786624203821656,5.8488635785089595,22,142,1.7320508075688772,1402.5,1,Student,Debit,Online,Fort Worth
0.023487261146496817,4.987298428731818,21,96,1.0,1930.96,1,Student,Debit,Online,Austin
0.025079617834394906,2.138889000323256,65,276,1.0,3634.67,1,Retired,Credit,Online,Houston
0.025477707006369428,5.513146448258161,23,158,2.23606797749979,673.35,1,Student,Debit,ATM,Miami
0.021894904458598725,3.7213466442514376,37,95,1.0,2686.52,1,Engineer,Debit,Branch,Milwaukee
0.021894904458598725,4.855539723555893,44,197,1.0,1772.06,1,Doctor,Debit,Online,Milwaukee
0.025079617834394906,4.04602928527588,27,283,1.0,1351.69,1,Student,Debit,Branch,Houston
0.025477707006369428,3.377928754722801,59,20,1.0,8334.47,2,Doctor,Credit,Online,Miami
0.020302547770700636,4.0963425648847736,29,257,1.0,9823.64,0,Doctor,Debit,ATM,Louisville
0.02308917197452229,5.985069140019122,49,168,1.7320508075688772,9690.15,0,Engineer,Debit,ATM,New York
0.02746815286624204,6.778568719599104,22,150,1.0,399.0,1,Student,Debit,Online,Los Angeles
0.02269108280254777,5.54619255408143,45,50,1.0,14815.87,0,Doctor,Credit,Branch,San Francisco
0.02428343949044586,4.834375328680896,49,45,1.0,5764.72,2,Engineer,Debit,Branch,Atlanta
0.021894904458598725,4.371092069621102,26,145,1.0,900.61,1,Student,Debit,Branch,Milwaukee
0.023487261146496817,6.477403039366023,75,137,1.0,4875.86,2,Retired,Debit,ATM,Austin
0.02428343949044586,6.6799885572656725,66,90,1.4142135623730951,7914.88,2,Doctor,Debit,ATM,Atlanta
0.027070063694267517,5.818984404344884,55,216,1.0,1019.39,1,Retired,Debit,Online,Charlotte
0.023487261146496817,5.797485302756558,63,119,1.0,4323.66,2,Retired,Debit,ATM,Austin
0.026671974522292995,3.555919326857706,38,19,1.0,14214.48,0,Doctor,Debit,Online,Tucson
0.027070063694267517,5.490671759042366,57,116,1.0,13357.02,0,Doctor,Credit,Online,Charlotte
0.026671974522292995,4.0310497118497866,19,117,1.0,241.79,1,Student,Debit,ATM,Tucson
0.020302547770700636,5.72132765387195,27,33,1.0,868.61,1,Student,Debit,Branch,Louisville
0.02388535031847134,6.078261317737981,74,90,1.0,4673.28,2,Retired,Debit,Branch,Jacksonville
0.020302547770700636,5.108910770030852,26,75,1.0,1509.27,1,Student,Debit,Branch,Louisville
0.027070063694267517,6.236839147263514,19,105,1.0,781.7,1,Student,Debit,Online,Charlotte
0.024681528662420384,6.4423809181200635,26,138,1.0,265.51,1,Student,Debit,Online,Denver
0.02109872611464968,3.1359289040472746,41,175,1.0,1335.09,1,Engineer,Credit,Online,Sacramento
0.02428343949044586,6.055237150005048,69,121,1.0,3907.54,1,Retired,Credit,Online,Atlanta
0.02587579617834395,6.053405948648165,51,264,1.0,5183.85,2,Engineer,Debit,Online,Omaha
0.021894904458598725,4.459334837764547,67,145,1.0,14904.9,0,Doctor,Debit,Branch,Milwaukee
0.023487261146496817,5.1387352967235715,28,142,1.0,918.88,1,Student,Debit,Branch,Austin
0.02587579617834395,4.659942421835071,62,90,1.0,4477.78,2,Retired,Debit,ATM,Omaha
0.02428343949044586,5.7618941377134165,25,83,1.0,1324.03,1,Student,Debit,Branch,Atlanta
0.021496815286624203,4.119687369893896,57,52,1.0,3534.93,1,Retired,Credit,Branch,Columbus
0.01950636942675159,5.682082047676862,68,61,1.0,4638.37,2,Retired,Credit,Branch,Dallas
0.02308917197452229,5.959767460364727,48,28,1.0,5630.61,2,Engineer,Debit,Branch,New York
0.02428343949044586,4.728007095947154,23,51,1.0,930.3,1,Student,Debit,Branch,Atlanta
0.02308917197452229,6.344793900795618,46,152,1.0,5499.91,2,Engineer,Debit,ATM,New York
0.01950636942675159,5.5796920894251505,79,227,1.4142135623730951,4175.02,2,Retired,Debit,Branch,Dallas
0.021894904458598725,5.859760056110554,48,226,1.0,6651.62,2,Engineer,Debit,Online,Milwaukee
0.026671974522292995,6.400921676485684,56,104,1.0,8458.29,2,Engineer,Credit,Branch,Tucson
0.027070063694267517,1.9125010869241836,50,124,1.0,13988.12,0,Doctor,Debit,Online,Charlotte
0.021894904458598725,5.3099000277911035,42,186,1.0,2585.07,1,Engineer,Credit,Branch,Milwaukee
0.02308917197452229,5.70184727002169,56,225,1.0,3014.75,1,Retired,Debit,Branch,New York
0.016321656050955414,6.257782523805988,25,128,1.0,1951.42,1,Student,Debit,Branch,Albuquerque
0.023487261146496817,4.7730546949842765,60,16,1.0,3665.77,1,Engineer,Credit,Online,Austin
0.02308917197452229,5.247655451745809,32,103,1.0,977.01,1,Engineer,Credit,Branch,New York
0.02428343949044586,4.901935877172915,44,220,1.0,3846.28,1,Engineer,Debit,ATM,Atlanta
0.01950636942675159,4.971270570573979,35,135,1.0,6374.82,2,Engineer,Debit,Online,Dallas
0.02428343949044586,3.2492110246642736,62,55,1.0,5866.01,2,Retired,Debit,ATM,Atlanta
0.02388535031847134,5.459245030654318,26,280,1.0,6537.62,2,Student,Credit,Online,Jacksonville
0.02308917197452229,7.10127226575899,20,24,1.0,605.95,1,Student,Debit,Branch,New York
0.02587579617834395,5.4515533424468945,37,51,1.0,6689.87,2,Engineer,Debit,ATM,Omaha
0.02428343949044586,5.0976077814408045,22,113,1.0,634.17,1,Student,Debit,Online,Atlanta
0.021894904458598725,4.527532916260939,44,69,1.0,14676.05,0,Doctor,Debit,Branch,Milwaukee
0.025477707006369428,4.798184372320789,19,77,1.0,1362.39,1,Student,Debit,Branch,Miami
0.02428343949044586,5.166213525914699,50,67,1.0,10528.34,0,Doctor,Debit,Online,Atlanta
0.024681528662420384,5.218787027591229,38,102,1.0,552.52,1,Engineer,Debit,ATM,Denver
